4,2,0,2,38,53,32,25,30,51,108,109,49,223,212,190,33,23,13,6,,
4,2,0,2,38,52,30,11,27,97,22,33,53,-1,-1,-1,-1,-1,-1,5,,
4,2,0,2,38,52,30,11,27,97,126,127,129,-1,-1,-1,-1,-1,-1,5,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
4,2,0,2,38,52,30,11,27,97,137,112,82,-1,-1,-1,-1,-1,-1,5,,
4,2,0,2,38,52,30,11,27,97,50,54,37,-1,-1,-1,-1,-1,-1,5,,
4,2,0,2,38,52,30,11,27,97,22,22,22,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,43,53,70,23,17,44,174,177,182,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,43,53,70,23,17,44,35,36,40,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,42,50,69,22,14,50,255,255,255,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,42,50,69,22,14,50,5,5,5,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,42,50,69,22,14,50,156,157,162,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,42,50,69,22,14,50,21,25,36,-1,-1,-1,-1,-1,-1,5,,
1,2,0,2,43,53,70,23,17,44,181,179,184,29,28,34,203,207,216,2,,
1,2,0,2,43,53,70,23,17,44,40,38,23,2,2,2,203,207,216,2,,
4,2,0,2,41,53,30,23,27,53,57,76,108,126,147,164,-1,-1,-1,2,,
1,2,0,2,43,53,70,23,17,44,255,255,255,28,61,138,-1,-1,-1,2,,
1,2,0,2,43,53,70,23,17,44,230,160,36,31,39,75,-1,-1,-1,2,,
1,2,0,2,43,53,70,23,17,44,23,25,50,78,166,144,-1,-1,-1,2,,
1,2,3,2,46,51,72,24,19,50,43,54,74,-1,-1,-1,-1,-1,-1,5,,
1,2,3,2,46,51,72,24,19,50,58,80,121,-1,-1,-1,-1,-1,-1,5,,
4,1,2,2,38,53,32,24,30,51,2,2,2,169,170,174,-1,-1,-1,3,,
4,1,2,2,38,53,32,24,30,51,255,255,255,169,170,174,-1,-1,-1,3,,
1,2,3,2,46,51,72,24,19,50,2,2,2,255,255,255,-1,-1,-1,2,,
1,2,3,2,46,51,72,24,19,50,130,131,136,2,2,2,-1,-1,-1,2,,
4,2,0,2,39,51,29,17,27,102,80,99,139,128,137,154,-1,-1,-1,5,,
